United Kingdom,London,51,30,-0,-7,0
Austria,Vienna,48,12,16,21,1
Belgium,Brussels,50,51,4,21,1
Bulgaria,Sofia,42,41,23,19,0
Croatia,Zagreb,45,48,16,0,0
Cyprus,Nicosia,35,08,33,28,1
Czech Republic,Prague,50,05,14,28,0
Denmark,Copenhagen,55,43,12,34,0
Estonia,Tallinn,59,25,24,45,1
Finland,Helsinki,60,10,24,56,1
France,Paris,48,51,2,21,1
Germany,Berlin,52,31,13,23,1
Greece,Athens,37,58,23,43,1
Hungary,Budapest,47,26,19,15,0
Ireland,Dublin,53,21,-6,-16,1
Italy,Rome,41,54,12,29,1
Latvia,Riga,56,57,24,6,0
Lithuania,Vilnius,54,41,25,19,0
Luxembourg,Luxembourg City,49,36,6,7,1
Malta,Valletta,35,53,14,30,1
Netherlands,Amsterdam,52,22,4,53,1
Poland,Warsaw,52,13,21,02,0
Portugal,Lisbon,38,46,-9,-9,1
Romania,Bucharest,44,25,26,6,0
Slovakia,Bratislava,48,09,17,07,1
Slovenia,Ljubljana,46,03,14,30,1
Spain,Madrid,40,26,-3,-42 1
Sweden,Stockholm,59,21,18,4,0
