"London", "Paris", FULL, 343, 16
"Paris", "Lisbon", EMPTY, 1792, 74
"Lisbon", "Madrid", EMPTY, 2294, 95
"Madrid", "Valletta", EMPTY, 3960, 161
"Valletta", "Sofia", EMPTY, 5030, 204
"Sofia", "Athens", FULL, 5556, 229
"Athens", "Nicosia", EMPTY, 6482, 266
"Nicosia", "Bucharest", EMPTY, 7689, 315
"Bucharest", "Rome", FULL, 8827, 369
"Rome", "Zagreb", EMPTY, 9344, 390
"Zagreb", "Ljubljana", FULL, 9464, 396
"Ljubljana", "Budapest", EMPTY, 9857, 411
"Budapest", "Bratislava", FULL, 10035, 420
"Bratislava", "Warsaw", EMPTY, 10566, 441
"Warsaw", "Berlin", FULL, 11086, 466
"Berlin", "Stockholm", EMPTY, 11900, 499
"Stockholm", "Helsinki", FULL, 12295, 518
"Helsinki", "Riga", EMPTY, 12656, 532
"Riga", "Tallinn", FULL, 12933, 545
"Tallinn", "Vilnius", EMPTY, 13460, 566
"Vilnius", "Vienna", FULL, 14410, 612
"Vienna", "Prague", EMPTY, 14661, 622
"Prague", "Luxembourg City", FULL, 15261, 651
"Luxembourg City", "Brussels", EMPTY, 15449, 658
"Brussels", "Copenhagen", EMPTY, 16217, 689
"Copenhagen", "Amsterdam", FULL, 16841, 719
"Amsterdam", "Dublin", EMPTY, 17597, 749
"Dublin", "London", EMPTY, 18062, 768
